pair_id,intervention,mechanism_hint,surrogate,surrogate_category,pathway,hallmark,relation_type,evidence_score,surrogate_confidence,literature_support,article_count,supporting_pmids,sample_titles,sample_snippet
empagliflozin_hba1c,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,0.522,0.756,0.732,4,25583754;27470878;34248838;29735306,"Combination of empagliflozin and linagliptin as second-line therapy in subjects with type 2 diabetes inadequately controlled on metformin. | Sodium Glucose Cotransporter 2 Inhibitors in the Treatment of Diabetes Mellitus: Cardiovascular and Kidney Effects, Potential Mechanisms, and Clinical Applications. | Efficacy of Semaglutide in a Subcutaneous and an Oral Formulation.","etformin for 52 weeks. The primary end point was change from baseline in HbA1c at week 24. RESULTS: At week 24, reductions in HbA1c (mean baseline 7.90-8.02% [62.8-64.1 mmol/mol]) with emp"
fisetin_sasp_panel,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,0.642,0.67,1.0,8,39384074;37977898;39658621;38062873;38630848;32686219;36648735;41270738,"Fisetin as a senotherapeutic agent: Evidence and perspectives for age-related diseases. | Senotherapy, cancer, and aging. | IL-23R is a senescence-linked circulating and tissue biomarker of aging.","Fisetin as a senotherapeutic agent: Evidence and perspectives for age-related diseases.. Fisetin, a flavonoid naturally occurring in plants, fruits, and vegetables, has recently gained attention for its potential role as"
fisetin_bcl2,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",BCL2,oncology,apoptosis regulation,genomic instability,intervention_to_surrogate,0.52,0.56,0.315,1,37977898,"Senotherapy, cancer, and aging.","de metformin, rapamycin, desatinib, quercitin, fisetin, ruloxitinib, and BCL2 inhibitors. A randomized controlled study of metformin in 3,000 patients aged 65-79 without glucose intoleran"
fisetin_p16ink4a_expression,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",p16INK4a expression,senescence,cell cycle arrest,cellular senescence,intervention_to_surrogate,0.452,0.587,0.631,3,30279143;38062873;41270738,Fisetin is a senotherapeutic that extends health and lifespan. | Intermittent supplementation with fisetin improves arterial function in old mice by decreasing cellular senescence. | Endothelial senescent-cell-specific clearance alleviates metabolic dysfunction in obese mice.,Fisetin is a senotherapeutic that extends health and lifespan.. BACKGROUND: Senescence is a tumor suppressor mechanism activated in stressed cells to prevent replication of damaged DNA. Senescent cells have been demonstr
fisetin_nad_nadh_ratio,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,0.393,0.504,0.5,2,27334466;39913122,Small Molecules as SIRT Modulators. | The Role and Molecular Pathways of SIRT6 in Senescence and Age-related Diseases.,"Small Molecules as SIRT Modulators.. Sirtuins are a family of NAD+-dependent deacetylases (class III histone deacetylases). Seven mammalian sirtuins, SIRT1-7, are identified, as the functions and locations differ greatly"
glp_1_receptor_agonists_hba1c,Glp-1 Receptor Agonists,"GLP-1 receptor activation; incretin signaling with potential effects on inflammation, wound healing, microvascular perfusion, keratinocyte migration, and fibroblast function",HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,0.568,0.803,0.631,3,31422062;37454782;39841962,"Cardiovascular, mortality, and kidney outcomes with GLP-1 receptor agonists in patients with type 2 diabetes: a systematic review and meta-analysis of cardiovascular outcome trials. | GLP-1 receptor agonists and diabetic retinopathy: A meta-analysis of randomized clinical trials. | Efficacy of GLP-1 Receptor Agonists on Weight Loss, BMI, and Waist Circumference for Patients With Obesity or Overweight: A Systematic Review, Meta-analysis, and Meta-regression of 47 Randomized Controlled Trials.","t characteristics (history of cardiovascular disease, BMI, age, baseline HbA1c, and baseline estimated glomerular filtration rate), trial duration, treatment dosing interval, and structura"
glp_1_receptor_agonists_creatinine,Glp-1 Receptor Agonists,"GLP-1 receptor activation; incretin signaling with potential effects on inflammation, wound healing, microvascular perfusion, keratinocyte migration, and fibroblast function",creatinine,organ function,kidney function,loss of proteostasis,intervention_to_surrogate,0.555,0.616,0.315,1,31422062,"Cardiovascular, mortality, and kidney outcomes with GLP-1 receptor agonists in patients with type 2 diabetes: a systematic review and meta-analysis of cardiovascular outcome trials.","minuria, decline in estimated glomerular filtration rate [or increase in creatinine], progression to end-stage kidney disease, or death attributable to kidney causes) by 17% (0·83, 0·78-0·89; p"
glp_1_receptor_agonists_hdl_c,Glp-1 Receptor Agonists,"GLP-1 receptor activation; incretin signaling with potential effects on inflammation, wound healing, microvascular perfusion, keratinocyte migration, and fibroblast function",HDL-C,metabolic,lipid metabolism,deregulated nutrient sensing,intervention_to_surrogate,0.415,0.696,0.315,1,40960239,"Orforglipron, an Oral Small-Molecule GLP-1 Receptor Agonist for Obesity Treatment.","Orforglipron, an Oral Small-Molecule GLP-1 Receptor Agonist for Obesity Treatment.. BACKGROUND: Orforglipron, a small-molecule, nonpeptide oral glucagon-like peptide-1 (GLP-1) receptor agonist, is being investigated as a"
immune_checkpoint_inhibitors_met,Immune Checkpoint Inhibitors,immunotherapy agents proposed in combination with senolytics to enhance clearance of therapy-induced senescent cells and anti-tumor immunity,MET,oncology,receptor tyrosine kinase signaling,genomic instability,intervention_to_surrogate,0.625,0.56,0.315,1,41038207,Long-term overall survival with dual CTLA-4 and PD-L1 or PD-1 blockade and biomarker-based subgroup analyses in patients with advanced non-small-cell lung cancer: a systematic review and reconstructed individual patient data meta-analysis.,ng cancer: a systematic review and reconstructed individual patient data meta-analysis.. BACKGROUND: Immune checkpoint inhibitors targeting PD-L1 or PD-1 as monotherapy or combined with
immune_checkpoint_inhibitors_hgf,Immune Checkpoint Inhibitors,immunotherapy agents proposed in combination with senolytics to enhance clearance of therapy-induced senescent cells and anti-tumor immunity,HGF,oncology,receptor tyrosine kinase signaling,genomic instability,intervention_to_surrogate,0.38,0.48,0.315,1,38302415,Prognostic and predictive value of angiogenesis-associated serum proteins for immunotherapy in esophageal cancer.,"baseline levels of three angiogenesis-related proteins (IL-8, TIE2, and HGF) were significantly associated with the survival outcomes of patients treated with ICIs (p<0.050). According"
insulin_crp,Insulin,Exogenous insulin replacement/intensification for glycemic control in type 2 diabetes,CRP,inflammation,inflammation signaling,inflammaging,intervention_to_surrogate,0.66,0.76,0.315,1,39269759,"Effect of Semaglutide on Physical Function, Body Composition, and Biomarkers of Aging in Older Adults With Overweight and Insulin Resistance: Protocol for an Open-Labeled Randomized Controlled Trial.","Effect of Semaglutide on Physical Function, Body Composition, and Biomarkers of Aging in Older Adults With Overweight and Insulin Resistance: Protocol for an Open-Labeled Randomized Controlled Trial.. BACKGROUND: Older a"
insulin_hba1c,Insulin,Exogenous insulin replacement/intensification for glycemic control in type 2 diabetes,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,0.66,0.816,0.315,1,39269759,"Effect of Semaglutide on Physical Function, Body Composition, and Biomarkers of Aging in Older Adults With Overweight and Insulin Resistance: Protocol for an Open-Labeled Randomized Controlled Trial.","Effect of Semaglutide on Physical Function, Body Composition, and Biomarkers of Aging in Older Adults With Overweight and Insulin Resistance: Protocol for an Open-Labeled Randomized Controlled Trial.. BACKGROUND: Older a"
insulin_lean_mass,Insulin,Exogenous insulin replacement/intensification for glycemic control in type 2 diabetes,lean mass,body composition,muscle maintenance,stem cell exhaustion,intervention_to_surrogate,0.66,0.696,0.315,1,39269759,"Effect of Semaglutide on Physical Function, Body Composition, and Biomarkers of Aging in Older Adults With Overweight and Insulin Resistance: Protocol for an Open-Labeled Randomized Controlled Trial.","rogram Lifestyle Change Program. Our primary outcomes include changes in lean mass, physical function, and biomarkers of aging. Body composition is measured by dual-energy x-ray absorptiometry"
insulin_igf_1,Insulin,Exogenous insulin replacement/intensification for glycemic control in type 2 diabetes,IGF-1,growth signaling,insulin IGF signaling,deregulated nutrient sensing,intervention_to_surrogate,0.58,0.571,0.631,3,23591370;33471780;18948730,The GH/IGF-1 axis in ageing and longevity. | Sulforaphane promotes C. elegans longevity and healthspan via DAF-16/DAF-2 insulin/IGF-1 signaling. | Insulin and aging.,"The GH/IGF-1 axis in ageing and longevity.. Secretion of growth hormone (GH), and consequently that of insulin-like growth"
lanatoside_c_ldlr,Lanatoside C,Clinical-stage cardiac glycoside with senolytic activity against senescent cells,LDLR,cardiovascular,lipid metabolism,altered intercellular communication,intervention_to_surrogate,0.485,0.52,0.315,1,40354378,"Lanatoside C, a Novel Senolytic, Ameliorates Atherosclerosis in Mice.",sions in apolipoprotein E (ApoE-/-) or low-density lipoprotein receptor (Ldlr-/-) knockout mice. These results suggest that Lana C could be a promising senolytic for age-related diseases.
lanatoside_c_il6,Lanatoside C,Clinical-stage cardiac glycoside with senolytic activity against senescent cells,IL6,inflammation,cytokine signaling,inflammaging,intervention_to_surrogate,0.415,0.56,0.315,1,42133066,Pharmacological targeting of the senescence-associated secretory phenotype in atherosclerosis: therapeutic potential of senolytics and senomorphics.,"Pharmacological targeting of the senescence-associated secretory phenotype in atherosclerosis: therapeutic potential of senolytics and senomorphics.. Despite optimal lipid-lowering treatment, numerous older adults with a"
lanatoside_c_mcp_1,Lanatoside C,Clinical-stage cardiac glycoside with senolytic activity against senescent cells,MCP-1,inflammation,chemokine signaling,inflammaging,intervention_to_surrogate,0.415,0.56,0.315,1,42133066,Pharmacological targeting of the senescence-associated secretory phenotype in atherosclerosis: therapeutic potential of senolytics and senomorphics.,"aggregate in plaques, secreting pro-inflammatory cytokines (IL-1α, IL-6, MCP-1) and matrix metalloproteinases that enhance plaque susceptibility. Two complementary pharmacological strategi"
lanatoside_c_sasp_panel,Lanatoside C,Clinical-stage cardiac glycoside with senolytic activity against senescent cells,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,0.415,0.6,0.315,1,42133066,Pharmacological targeting of the senescence-associated secretory phenotype in atherosclerosis: therapeutic potential of senolytics and senomorphics.,"Pharmacological targeting of the senescence-associated secretory phenotype in atherosclerosis: therapeutic potential of senolytics and senomorphics.. Despite optimal lipid-lowering treatment, numerous older adults with a"
liraglutide_crp,Liraglutide,GLP1: GLP-1 receptor agonism and metabolic regulation,CRP,inflammation,inflammation signaling,inflammaging,intervention_to_surrogate,0.73,0.76,0.315,1,38555202,Effects of GLP-1 receptor agonists on the degree of liver fibrosis and CRP in non-alcoholic fatty liver disease and non-alcoholic steatohepatitis: A systematic review and meta-analysis.,Effects of GLP-1 receptor agonists on the degree of liver fibrosis and CRP in non-alcoholic fatty liver disease and non-alcoholic steatohepatitis: A systematic review and meta-analysis
liraglutide_homa_ir,Liraglutide,GLP1: GLP-1 receptor agonism and metabolic regulation,HOMA-IR,metabolic,insulin signaling,deregulated nutrient sensing,intervention_to_surrogate,0.555,0.776,0.315,1,37874653,Weight Loss-Independent Effect of Liraglutide on Insulin Sensitivity in Individuals With Obesity and Prediabetes.,"de improved insulin sensitivity measured by HOMA for insulin resistance (HOMA-IR), the updated HOMA model (HOMA2), and the Matsuda index after 2 weeks, prior to weight loss. Liraglutide decr"
liraglutide_creatinine,Liraglutide,GLP1: GLP-1 receptor agonism and metabolic regulation,creatinine,organ function,kidney function,loss of proteostasis,intervention_to_surrogate,0.55,0.656,0.5,2,28854085;31422062,"Liraglutide and Renal Outcomes in Type 2 Diabetes. | Cardiovascular, mortality, and kidney outcomes with GLP-1 receptor agonists in patients with type 2 diabetes: a systematic review and meta-analysis of cardiovascular outcome trials.","new-onset persistent macroalbuminuria, persistent doubling of the serum creatinine level, end-stage renal disease, or death due to renal disease. The risk of renal outcomes was determined with"
liraglutide_fasting_glucose,Liraglutide,GLP1: GLP-1 receptor agonism and metabolic regulation,fasting glucose,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,0.55,0.816,0.5,2,37874653;27981757,Weight Loss-Independent Effect of Liraglutide on Insulin Sensitivity in Individuals With Obesity and Prediabetes. | Efficacy and safety of glucagon-like peptide-1 receptor agonists in type 2 diabetes: A systematic review and mixed-treatment comparison analysis.,"endogenous GLP-1 and GIP values without altering insulin sensitivity or fasting glucose levels, but decreased postprandial glucose and glucagon levels. Notably, sitagliptin increased GIP without al"
liraglutide_lean_mass,Liraglutide,GLP1: GLP-1 receptor agonism and metabolic regulation,lean mass,body composition,muscle maintenance,stem cell exhaustion,intervention_to_surrogate,0.52,0.616,0.315,1,41212412,Precision obesity medicine: A phenotype-guided framework for pharmacologic therapy across the lifespan.,utide are both approved and effective. Liraglutide and orlistat preserve lean mass alongside resistance training and adequate protein intake in older and sarcopenic people. CONCLUSIONS: An ant
liraglutide_hba1c,Liraglutide,GLP1: GLP-1 receptor agonism and metabolic regulation,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,0.496,0.756,0.732,4,31422062;27981757;34248838;17098089,"Cardiovascular, mortality, and kidney outcomes with GLP-1 receptor agonists in patients with type 2 diabetes: a systematic review and meta-analysis of cardiovascular outcome trials. | Efficacy and safety of glucagon-like peptide-1 receptor agonists in type 2 diabetes: A systematic review and mixed-treatment comparison analysis. | Efficacy of Semaglutide in a Subcutaneous and an Oral Formulation.","t characteristics (history of cardiovascular disease, BMI, age, baseline HbA1c, and baseline estimated glomerular filtration rate), trial duration, treatment dosing interval, and structura"
liraglutide_met,Liraglutide,GLP1: GLP-1 receptor agonism and metabolic regulation,MET,oncology,receptor tyrosine kinase signaling,genomic instability,intervention_to_surrogate,0.485,0.6,0.315,1,27981757,Efficacy and safety of glucagon-like peptide-1 receptor agonists in type 2 diabetes: A systematic review and mixed-treatment comparison analysis.,"ceptor agonists (GLP-1RAs) in people with type 2 diabetes. MATERIALS AND METHODS: We electronically searched, up to June 3, 2016, published randomized clinical trials lasting between 24"
metformin_hba1c,Metformin,AMPK: AMPK-related metabolic modulation; mTOR inhibition; mitochondrial function and oxidative stress modulation; immunometabolic and gut microbiome effects,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,0.485,0.776,0.315,1,33236115,Dual GIP and GLP-1 Receptor Agonist Tirzepatide Improves Beta-cell Function and Insulin Sensitivity in Type 2 Diabetes.,Dual GIP and GLP-1 Receptor Agonist Tirzepatide Improves Beta-cell Function and Insulin Sensitivity in Type 2 Diabetes.. CONTEXT: Novel dual glucose-dependent insulinotropic polypeptide (GIP) and glucagon-like peptide-1
metformin_fasting_insulin,Metformin,AMPK: AMPK-related metabolic modulation; mTOR inhibition; mitochondrial function and oxidative stress modulation; immunometabolic and gut microbiome effects,fasting insulin,metabolic,insulin signaling,deregulated nutrient sensing,intervention_to_surrogate,0.485,0.776,0.315,1,33236115,Dual GIP and GLP-1 Receptor Agonist Tirzepatide Improves Beta-cell Function and Insulin Sensitivity in Type 2 Diabetes.,dulaglutide (P ≤ .007). Tirzepatide 10 and 15 mg significantly decreased fasting insulin (P ≤ .033) and tirzepatide 10 mg significantly decreased HOMA2-IR (P = .004) compared with placebo and dulagl
metformin_triglycerides,Metformin,AMPK: AMPK-related metabolic modulation; mTOR inhibition; mitochondrial function and oxidative stress modulation; immunometabolic and gut microbiome effects,triglycerides,metabolic,lipid metabolism,deregulated nutrient sensing,intervention_to_surrogate,0.485,0.776,0.315,1,33236115,Dual GIP and GLP-1 Receptor Agonist Tirzepatide Improves Beta-cell Function and Insulin Sensitivity in Type 2 Diabetes.,"ssion analysis with potential confounding variables age, sex, metformin, triglycerides, and glycated hemoglobin A1c was conducted. WL significantly (P ≤ .028) explained only 13% and 21% of improve"
metformin_nad_nadh_ratio,Metformin,AMPK: AMPK-related metabolic modulation; mTOR inhibition; mitochondrial function and oxidative stress modulation; immunometabolic and gut microbiome effects,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,0.48,0.544,0.5,2,38181790;32467649,Human trials exploring anti-aging medicines. | The quest to slow ageing through drug discovery.,"Human trials exploring anti-aging medicines.. Here, we summarize the current knowledge on eight promising drugs and natural compounds that have been tested in the clinic: metformin, NAD+ precursors, glucagon-like peptide"
microglial_depletion_repopulation_paradigms_sasp_panel,Microglial Depletion-Repopulation Paradigms,removal and replacement of dysfunctional microglia to restore homeostatic neuroimmune surveillance,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,0.485,0.68,0.315,1,42144205,Microglial senescence and epigenetic reprogramming in alzheimer's disease: An immunometabolic perspective.,Microglial senescence and epigenetic reprogramming in alzheimer's disease: An immunometabolic perspective.. Microglial senescence has emerged as a potentially important aging-related mechanism in Alzheimer's disease (AD)
mitoq_il6,Mitoq,Mitochondria-targeted antioxidant that prophylactically prevented hyperoxia-induced senescence markers and SASP,IL6,inflammation,cytokine signaling,inflammaging,intervention_to_surrogate,0.45,0.6,0.315,1,39985494,"Effect of Exercise, MitoQ, and Their Combination on Inflammatory and Gene Expression in Women with Multiple Sclerosis.","Effect of Exercise, MitoQ, and Their Combination on Inflammatory and Gene Expression in Women with Multiple Sclerosis.. Multiple sclerosis (MS) is a chronic autoimmune disease affecting the central nervous system. Curren"
mitoq_smad2,Mitoq,Mitochondria-targeted antioxidant that prophylactically prevented hyperoxia-induced senescence markers and SASP,SMAD2,oncology,TGF-beta signaling,genomic instability,intervention_to_surrogate,0.45,0.48,0.315,1,39985494,"Effect of Exercise, MitoQ, and Their Combination on Inflammatory and Gene Expression in Women with Multiple Sclerosis.","pathogenesis, including suppressor of mother against decapentaplegic 2 (SMAD2), signal transducer and activator of transcription 1 (STAT1), and transforming growth factor beta (TGF-β) usi"
mitoq_telomere_length,Mitoq,Mitochondria-targeted antioxidant that prophylactically prevented hyperoxia-induced senescence markers and SASP,telomere length,cellular aging,replicative aging,genomic instability,intervention_to_surrogate,0.45,0.488,0.315,1,40087268,Telomere length in offspring is determined by mitochondrial-nuclear communication at fertilization.,Telomere length in offspring is determined by mitochondrial-nuclear communication at fertilization.. The initial setting of t
mitoq_sasp_panel,Mitoq,Mitochondria-targeted antioxidant that prophylactically prevented hyperoxia-induced senescence markers and SASP,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,0.415,0.6,0.315,1,31633821,Senescent human melanocytes drive skin ageing via paracrine telomere dysfunction.,"Senescent human melanocytes drive skin ageing via paracrine telomere dysfunction.. Cellular senescence has been shown to contribute to skin ageing. However, the role of melanocytes in the process is understudied. Our dat"
mitoq_p16ink4a_expression,Mitoq,Mitochondria-targeted antioxidant that prophylactically prevented hyperoxia-induced senescence markers and SASP,p16INK4a expression,senescence,cell cycle arrest,cellular senescence,intervention_to_surrogate,0.415,0.6,0.315,1,31633821,Senescent human melanocytes drive skin ageing via paracrine telomere dysfunction.,"Senescent human melanocytes drive skin ageing via paracrine telomere dysfunction.. Cellular senescence has been shown to contribute to skin ageing. However, the role of melanocytes in the process is understudied. Our dat"
mitoq_nad_nadh_ratio,Mitoq,Mitochondria-targeted antioxidant that prophylactically prevented hyperoxia-induced senescence markers and SASP,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,0.205,0.464,0.315,1,33609723,Cigarette smoke-inactivated SIRT1 promotes autophagy-dependent senescence of alveolar epithelial type 2 cells to induce pulmonary fibrosis.,Cigarette smoke-inactivated SIRT1 promotes autophagy-dependent senescence of alveolar epithelial type 2 cells to induce pulmonary fibrosis.. The senescence of alveolar epithelial type 2 (AT2) cells is implicated in the p
mitoq_parp1,Mitoq,Mitochondria-targeted antioxidant that prophylactically prevented hyperoxia-induced senescence markers and SASP,PARP1,oncology,DNA damage repair,genomic instability,intervention_to_surrogate,0.205,0.4,0.315,1,33609723,Cigarette smoke-inactivated SIRT1 promotes autophagy-dependent senescence of alveolar epithelial type 2 cells to induce pulmonary fibrosis.,"recursor nicotinamide mononucleotide and the poly ADP-ribose polymerase (PARP1) inhibitor olaparib also exerted anti-senescent effects by activating SIRT1. Moreover, the results showed tha"
mtor_inhibitors_pam,Mtor Inhibitors,"Modulate mTOR signaling to reduce age-related mTOR overactivation, potentially improving autophagy and immune function relevant to vaccine responses in aging",PAM,cardiovascular,glucose insulin signaling,altered intercellular communication,intervention_to_surrogate,0.38,0.56,0.315,1,36010585,PI3K/AKT/mTOR-Targeted Therapy for Breast Cancer.,"3-kinase (PI3K), protein kinase B (PKB/AKT) and mechanistic target of rapamycin (mTOR) (PAM) pathways play important roles in breast tumorigenesis and confer worse prognosis in breast c"
mtor_inhibitors_pten,Mtor Inhibitors,"Modulate mTOR signaling to reduce age-related mTOR overactivation, potentially improving autophagy and immune function relevant to vaccine responses in aging",PTEN,oncology,PI3K AKT mTOR signaling,genomic instability,intervention_to_surrogate,0.205,0.4,0.315,1,37541245,Chromophobe renal cell carcinoma.,nt data suggest two potential mechanisms: mTORC1 hyperactivation through PTEN pathway mutations and mitochondrial dysfunction leading to oxidative stress. There are no specific approved t
n_acetylcysteine_cystatin_c,N-Acetylcysteine,"Glutathione precursor; reduces oxidative stress and inflammatory signaling, with potential effects on mitochondrial dysfunction and muscle degeneration pathways",cystatin C,organ function,kidney function,loss of proteostasis,intervention_to_surrogate,0.695,0.616,0.315,1,40163249,N-Acetylcysteine for Hereditary Cystatin C Amyloid Angiopathy: A Nonrandomized Clinical Trial.,N-Acetylcysteine for Hereditary Cystatin C Amyloid Angiopathy: A Nonrandomized Clinical Trial.. IMPORTANCE: Hereditary cystatin C amyloid angiopathy (HC
n_acetylcysteine_crp,N-Acetylcysteine,"Glutathione precursor; reduces oxidative stress and inflammatory signaling, with potential effects on mitochondrial dysfunction and muscle degeneration pathways",CRP,inflammation,inflammation signaling,inflammaging,intervention_to_surrogate,0.66,0.76,0.315,1,40421021,Co-administration of vitamin D and N-acetylcysteine to modulate immunosenescence in older adults with vitamin D deficiency: a randomized clinical trial.,"nces were observed between the groups in serum IL-6, C-reactive protein (CRP), or the neutrophil-to-lymphocyte ratio (NLR) after the intervention. CONCLUSIONS: The loading dose of Vit-D"
n_acetylcysteine_il6,N-Acetylcysteine,"Glutathione precursor; reduces oxidative stress and inflammatory signaling, with potential effects on mitochondrial dysfunction and muscle degeneration pathways",IL6,inflammation,cytokine signaling,inflammaging,intervention_to_surrogate,0.522,0.68,0.631,3,40421021;39632267;30700808,"Co-administration of vitamin D and N-acetylcysteine to modulate immunosenescence in older adults with vitamin D deficiency: a randomized clinical trial. | The impact of N-acetylcysteine on lactate, biomarkers of oxidative stress, immune response, and muscle damage: A systematic review and meta-analysis. | N-acetylcysteine modulates lipopolysaccharide-induced intestinal dysfunction.",Co-administration of vitamin D and N-acetylcysteine to modulate immunosenescence in older adults with vitamin D deficiency: a randomized clinical trial.. BACKGROUND: Immunosenescence is an important factor in the impaire
n_acetylcysteine_bcl2,N-Acetylcysteine,"Glutathione precursor; reduces oxidative stress and inflammatory signaling, with potential effects on mitochondrial dysfunction and muscle degeneration pathways",BCL2,oncology,apoptosis regulation,genomic instability,intervention_to_surrogate,0.415,0.44,0.315,1,40944367,Urolithin Α modulates inter-organellar communication via calcium-dependent mitophagy to promote healthy ageing.,bbreviations: Ca2+: calcium ions; BJ: human foreskin fibroblasts; BNIP3: BCL2 interacting protein 3; BP: bipyridyl; CAMK2D: calcium/calmodulin dependent protein kinase II delta; CCCP: car
n_acetylcysteine_sasp_panel,N-Acetylcysteine,"Glutathione precursor; reduces oxidative stress and inflammatory signaling, with potential effects on mitochondrial dysfunction and muscle degeneration pathways",SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,0.31,0.6,0.315,1,41281764,N-Homocysteinylation of HMGB1/2 Promotes Corpus Cavernosum Endothelial Senescence in Erectile Dysfunction.,"N-Homocysteinylation of HMGB1/2 Promotes Corpus Cavernosum Endothelial Senescence in Erectile Dysfunction.. Homocysteine (Hcy) is an age-related risk factor for erectile dysfunction (ED), with enhanced vascular toxicity"
nad_precursors_nad_nadh_ratio,Nad+ Precursors,NAD+ therapeutics; may support SIRT1 activation and systemic metabolic resilience,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,0.712,0.657,1.0,17,31917996;37671592;37364580;29599478;38181790;37068054;34517020;37848251;33609766;34843394;41083806;40926126;33568522;40604314;38340651;31501588;40117359,NAD+ therapy in age-related degenerative disorders: A benefit/risk analysis. | Human ovarian aging is characterized by oxidative damage and mitochondrial dysfunction. | Nicotinamide Adenine Dinucleotide in Aging Biology: Potential Applications and Many Unknowns.,NAD+ therapy in age-related degenerative disorders: A benefit/risk analysis.. Nicotinamide adenine dinucleotide (NAD+) is an essential pyridine nucleotide that is present in all living cells. NAD+ acts as an important co
nad_precursors_met,Nad+ Precursors,NAD+ therapeutics; may support SIRT1 activation and systemic metabolic resilience,MET,oncology,receptor tyrosine kinase signaling,genomic instability,intervention_to_surrogate,0.59,0.6,0.315,1,31917996,NAD+ therapy in age-related degenerative disorders: A benefit/risk analysis.,"icles were identified and 147 articles (113 preclinical and 34 clinical) met criteria for inclusion. Most studies indicated that the NAD+ precursors NAM, NR, nicotinamide mononucleotide"
nad_therapeutics_nad_nadh_ratio,Nad+ Therapeutics,supports mitochondrial NAD+ reserve and compensation for oxidative phosphorylation stress,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,0.38,0.464,0.315,1,36331703,NAD+ Therapeutics and Skeletal Muscle Adaptation to Exercise in Humans.,NAD+ Therapeutics and Skeletal Muscle Adaptation to Exercise in Humans.. Nicotinamide adenine dinucleotide (NAD+) is a vital energy intermediate in skeletal muscle. The discovery of dietary-derived NAD+ precursors has le
nicotinamide_riboside_nad_nadh_ratio,Nicotinamide Riboside,NAD+: NAD+ precursor supplementation intended to boost NAD+ homeostasis,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,0.72,0.592,1.0,10,37994989;31917996;37068054;27721479;29249689;34517020;40926126;40117359;40315855;34497121,A randomized placebo-controlled trial of nicotinamide riboside in older adults with mild cognitive impairment. | NAD+ therapy in age-related degenerative disorders: A benefit/risk analysis. | Dietary Supplementation With NAD+-Boosting Compounds in Humans: Current Knowledge and Future Directions.,"A randomized placebo-controlled trial of nicotinamide riboside in older adults with mild cognitive impairment.. Nicotinamide riboside (NR) increases blood levels of NAD+, a cofactor central to energy metabolism, and impr"
nicotinamide_riboside_grimage,Nicotinamide Riboside,NAD+: NAD+ precursor supplementation intended to boost NAD+ homeostasis,GrimAge,epigenetic aging,aging clocks,genomic instability,intervention_to_surrogate,0.66,0.84,0.315,1,37994989,A randomized placebo-controlled trial of nicotinamide riboside in older adults with mild cognitive impairment.,"and concomitant reduction in epigenetic age as measured by PhenoAge and GrimAge epigenetic clock analyses. In summary, NR significantly increased blood NAD+ concentrations in older adults w"
nicotinamide_riboside_phenoage,Nicotinamide Riboside,NAD+: NAD+ precursor supplementation intended to boost NAD+ homeostasis,PhenoAge,epigenetic aging,aging clocks,genomic instability,intervention_to_surrogate,0.66,0.84,0.315,1,37994989,A randomized placebo-controlled trial of nicotinamide riboside in older adults with mild cognitive impairment.,"A methylation and concomitant reduction in epigenetic age as measured by PhenoAge and GrimAge epigenetic clock analyses. In summary, NR significantly increased blood NAD+ concentrations in ol"
