pair_id,intervention,mechanism_hint,surrogate,surrogate_category,pathway,hallmark,relation_type,pmid,title,journal,year,study_type,article_score,surrogate_signal,sample_snippet,doi
dasatinib_quercetin_p16ink4a_expression,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,p16INK4a expression,senescence,cell cycle arrest,cellular senescence,intervention_to_surrogate,38710875,Targeting pathological cells with senolytic drugs reduces seizures in neurodevelopmental mTOR-related epilepsy.,Nature neuroscience,2024,preclinical,0.4,0.7,Targeting pathological cells with senolytic drugs reduces seizures in neurodevelopmental mTOR-related epilepsy.. Cortical malformations such as focal cortical dysplasia type II (FCDII) are associated with pediatric drug-,10.1038/s41593-024-01634-2
dasatinib_quercetin_sasp_panel,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,38710875,Targeting pathological cells with senolytic drugs reduces seizures in neurodevelopmental mTOR-related epilepsy.,Nature neuroscience,2024,preclinical,0.4,0.7,Targeting pathological cells with senolytic drugs reduces seizures in neurodevelopmental mTOR-related epilepsy.. Cortical malformations such as focal cortical dysplasia type II (FCDII) are associated with pediatric drug-,10.1038/s41593-024-01634-2
dasatinib_quercetin_sasp_panel,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,40443429,Protocol for a pilot clinical trial of the senolytic drug combination Dasatinib Plus Quercetin to mitigate age-related health and cognitive decline in mental disorders.,F1000Research,2024,clinical_trial,0.8,0.95,Protocol for a pilot clinical trial of the senolytic drug combination Dasatinib Plus Quercetin to mitigate age-related health and cognitive decline in mental disorders.. BACKGROUND: Major depressive disorder (MDD) and sc,10.12688/f1000research.151963.2
dasatinib_quercetin_telomere_length,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,telomere length,cellular aging,replicative aging,genomic instability,intervention_to_surrogate,40745453,Telomere Dynamics in Cardiovascular Aging: From Molecular Mechanisms to Precision Medicine.,Cardiology in review,2025,preclinical,0.5,0.71,"d mitochondrial dysfunction; (2) clinical evidence positioning leukocyte telomere length and telomere-associated proteins (eg, TRF2, POT1) as predictive biomarkers for coronary artery disease, heart",10.1097/CRD.0000000000001018
dasatinib_quercetin_p16ink4a_expression,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,p16INK4a expression,senescence,cell cycle arrest,cellular senescence,intervention_to_surrogate,39823170,Characterization of Human Senescent Cell Biomarkers for Clinical Trials.,Aging cell,2025,randomized_trial,0.65,0.9,Characterization of Human Senescent Cell Biomarkers for Clinical Trials.. There is an increasing need for biomarkers of senescent cell burden to facilitate the selection of participants for clinical trials. p16Ink4a is e,10.1111/acel.14489
dasatinib_quercetin_sasp_panel,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,39823170,Characterization of Human Senescent Cell Biomarkers for Clinical Trials.,Aging cell,2025,randomized_trial,0.65,0.9,of senescent cells reaches some threshold. Further analysis identified a SASP panel in plasma that performed as well in identifying postmenopausal women with a positive skeletal response to D +,10.1111/acel.14489
dasatinib_quercetin_sasp_panel,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,40006057,"Cellular Senescence in Health, Disease, and Lens Aging.","Pharmaceuticals (Basel, Switzerland)",2025,review,0.55,0.75,"Cellular Senescence in Health, Disease, and Lens Aging.. Background: Cellular senescence is a state of irreversible cell cycle arrest that serves as a critical regulator of tissue homeostasis, aging, and disease. While t",10.3390/ph18020244
dasatinib_quercetin_il6,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,IL6,inflammation,cytokine signaling,inflammaging,intervention_to_surrogate,41075072,Targeting the senescence-associated secretory phenotype to modify osteoarthritis in aging.,Inflammopharmacology,2025,review,0.5,0.8,"e (SASP) of chondrocytes, which includes the continuous release of IL1β, IL6, TNFα, MMP3, and MMP13, offers a crucial function in driving the pathology of OA. In this review, we consolid",10.1007/s10787-025-02001-8
dasatinib_quercetin_sasp_panel,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,41075072,Targeting the senescence-associated secretory phenotype to modify osteoarthritis in aging.,Inflammopharmacology,2025,review,0.5,0.85,"Targeting the senescence-associated secretory phenotype to modify osteoarthritis in aging.. Osteoarthritis (OA) is a common joint condition correlated with aging, characterized by the gradual degradation of cartilage, al",10.1007/s10787-025-02001-8
dasatinib_quercetin_sasp_panel,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,36959691,Effect of peripheral cellular senescence on brain aging and cognitive decline.,Aging cell,2023,preclinical,0.5,0.85,"Effect of peripheral cellular senescence on brain aging and cognitive decline.. We examine similar and differential effects of two senolytic treatments, ABT-263 and dasatinib + quercetin (D + Q), in preserving cognition,",10.1111/acel.13817
dasatinib_quercetin_p16ink4a_expression,Dasatinib + Quercetin,senolytic: Senolytic combination reported to reduce senescence markers and induce death of hyperoxia-induced senescent airway smooth muscle cells,p16INK4a expression,senescence,cell cycle arrest,cellular senescence,intervention_to_surrogate,32584785,Transient metabolic improvement in obese mice treated with navitoclax or dasatinib/quercetin.,Aging,2020,preclinical,0.5,0.8,Transient metabolic improvement in obese mice treated with navitoclax or dasatinib/quercetin.. Senescent cells accumulate with obesity in the white adipose tissue of mice and humans. These senescent cells enhance the pro,10.18632/aging.103607
empagliflozin_creatinine,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,creatinine,organ function,kidney function,loss of proteostasis,intervention_to_surrogate,35700142,Design of the COmbinatioN effect of FInerenone anD EmpaglifloziN in participants with chronic kidney disease and type 2 diabetes using a UACR Endpoint study (CONFIDENCE).,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",2023,randomized_trial,0.75,0.72,"Phase 2 study in 807 adults with T2D, stage 2-3 CKD and a urine albumin:creatinine ratio (UACR) ≥300-<5000 mg/g. The primary objective is to demonstrate that 6 months of dual therapy comprisin",10.1093/ndt/gfac198
empagliflozin_creatinine,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,creatinine,organ function,kidney function,loss of proteostasis,intervention_to_surrogate,27299675,Empagliflozin and Progression of Kidney Disease in Type 2 Diabetes.,The New England journal of medicine,2016,randomized_trial,0.75,0.72,"ning nephropathy (progression to macroalbuminuria, doubling of the serum creatinine level, initiation of renal-replacement therapy, or death from renal disease) and incident albuminuria. RESULT",10.1056/NEJMoa1515920
empagliflozin_hba1c,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,34248838,Efficacy of Semaglutide in a Subcutaneous and an Oral Formulation.,Frontiers in endocrinology,2021,review,0.5,0.82,"the management of type 2 diabetes (T2D), achieving glycated hemoglobin (HbA1c) targets is challenging in some patients. Glucagon-like peptide-1 receptor agonists (GLP-1RAs) provide effect",10.3389/fendo.2021.645617
empagliflozin_hba1c,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,29735306,Renoprotective effects of sodium-glucose cotransporter-2 inhibitors.,Kidney international,2018,review,0.5,0.82,"improvements in several cardiovascular and renal risk factors, including HbA1c, blood pressure, weight, renal hyperfiltration, and albuminuria. However, as with other antihyperglycemic dru",10.1016/j.kint.2017.12.027
empagliflozin_hba1c,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,25583754,Combination of empagliflozin and linagliptin as second-line therapy in subjects with type 2 diabetes inadequately controlled on metformin.,Diabetes care,2015,randomized_trial,0.65,0.82,"etformin for 52 weeks. The primary end point was change from baseline in HbA1c at week 24. RESULTS: At week 24, reductions in HbA1c (mean baseline 7.90-8.02% [62.8-64.1 mmol/mol]) with emp",10.2337/dc14-2364
empagliflozin_nt_probnp,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,NT-proBNP,cardiovascular,cardiac stress,altered intercellular communication,intervention_to_surrogate,36036746,Empagliflozin in acute myocardial infarction: the EMMY trial.,European heart journal,2022,randomized_trial,0.75,0.8,ary outcome was the N-terminal pro-hormone of brain natriuretic peptide (NT-proBNP) change over 26 weeks. Secondary outcomes included changes in echocardiographic parameters. Baseline median (,10.1093/eurheartj/ehac494
empagliflozin_creatinine,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,creatinine,organ function,kidney function,loss of proteostasis,intervention_to_surrogate,35238940,"Design, recruitment, and baseline characteristics of the EMPA-KIDNEY trial.","Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",2022,randomized_trial,0.55,0.62,"min/1.73 m2 or an eGFR ≥45 but <90 mL/min/1.73 m2 with a urinary albumin:creatinine ratio (uACR) ≥200 mg/g. The trial design is streamlined, as extra work for collaborating sites is kept to a m",10.1093/ndt/gfac040
empagliflozin_nt_probnp,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,NT-proBNP,cardiovascular,cardiac stress,altered intercellular communication,intervention_to_surrogate,39400108,Empagliflozin and other SGLT2 inhibitors in patients with heart failure and preserved ejection fraction: a systematic review and meta-analysis.,Therapeutic advances in cardiovascular disease,2024,randomized_trial,0.75,0.8,"al fibrillation or flutter, diabetes mellitus, sex, body mass index, and nt-proBNP. The included studies were of moderate to high quality. CONCLUSION: For individuals with HFpEF, SGLT2 inhibit",10.1177/17539447241289067
empagliflozin_hba1c,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,27470878,"Sodium Glucose Cotransporter 2 Inhibitors in the Treatment of Diabetes Mellitus: Cardiovascular and Kidney Effects, Potential Mechanisms, and Clinical Applications.",Circulation,2016,randomized_trial,0.65,0.92,"Sodium Glucose Cotransporter 2 Inhibitors in the Treatment of Diabetes Mellitus: Cardiovascular and Kidney Effects, Potential Mechanisms, and Clinical Applications.. Sodium-glucose cotransporter-2 (SGLT2) inhibitors, inc",10.1161/CIRCULATIONAHA.116.021887
empagliflozin_creatinine,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,creatinine,organ function,kidney function,loss of proteostasis,intervention_to_surrogate,41082889,Effects of empagliflozin on conventional and exploratory acute and chronic kidney outcomes: an individual participant-level meta-analysis.,The lancet. Diabetes & endocrinology,2025,clinical_trial,0.75,0.72,"ed the risk of a marker of acute kidney injury (a ≥50% increase in serum creatinine in consecutive follow-up samples) by 20% (hazard ratio 0·80 [95% CI 0·72-0·88]; 1573 outcomes), acute kidney",10.1016/S2213-8587(25)00222-0
empagliflozin_creatinine,Empagliflozin,SGLT2: SGLT2 inhibition and glucosuria-driven metabolic unloading,creatinine,organ function,kidney function,loss of proteostasis,intervention_to_surrogate,37616058,Endogenous adenine mediates kidney injury in diabetic models and predicts diabetic kidney disease in patients.,The Journal of clinical investigation,2023,clinical_trial,0.65,0.72,"SMART2D), and the American Indian Study determined whether urine adenine/creatinine ratio (UAdCR) could be a mechanistic biomarker for ESKD. ESKD and mortality were associated with the highest",10.1172/JCI170341
fisetin_sasp_panel,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,32686219,Senolytic drugs: from discovery to translation.,Journal of internal medicine,2020,review,0.55,0.75,"Senolytic drugs: from discovery to translation.. Senolytics are a class of drugs that selectively clear senescent cells (SC). The first senolytic drugs Dasatinib, Quercetin, Fisetin and Navitoclax were discovered using a",10.1111/joim.13141
fisetin_p16ink4a_expression,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",p16INK4a expression,senescence,cell cycle arrest,cellular senescence,intervention_to_surrogate,30279143,Fisetin is a senotherapeutic that extends health and lifespan.,EBioMedicine,2018,preclinical,0.65,0.75,Fisetin is a senotherapeutic that extends health and lifespan.. BACKGROUND: Senescence is a tumor suppressor mechanism activated in stressed cells to prevent replication of damaged DNA. Senescent cells have been demonstr,10.1016/j.ebiom.2018.09.015
fisetin_sasp_panel,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,39658621,IL-23R is a senescence-linked circulating and tissue biomarker of aging.,Nature aging,2025,preclinical,0.65,0.85,IL-23R is a senescence-linked circulating and tissue biomarker of aging.. Cellular senescence is an aging mechanism characterized by cell cycle arrest and a senescence-associated secretory phenotype (SASP). Preclinical s,10.1038/s43587-024-00752-7
fisetin_sasp_panel,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,39384074,Fisetin as a senotherapeutic agent: Evidence and perspectives for age-related diseases.,Mechanisms of ageing and development,2024,review,0.75,0.85,"Fisetin as a senotherapeutic agent: Evidence and perspectives for age-related diseases.. Fisetin, a flavonoid naturally occurring in plants, fruits, and vegetables, has recently gained attention for its potential role as",10.1016/j.mad.2024.111995
fisetin_p16ink4a_expression,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",p16INK4a expression,senescence,cell cycle arrest,cellular senescence,intervention_to_surrogate,41270738,Endothelial senescent-cell-specific clearance alleviates metabolic dysfunction in obese mice.,Cell metabolism,2025,preclinical,0.25,0.7,"Endothelial senescent-cell-specific clearance alleviates metabolic dysfunction in obese mice.. Accumulation of senescent cells is a key contributor to multiple diseases across the lifespan, including metabolic dysfunctio",10.1016/j.cmet.2025.10.009
fisetin_sasp_panel,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,41270738,Endothelial senescent-cell-specific clearance alleviates metabolic dysfunction in obese mice.,Cell metabolism,2025,preclinical,0.25,0.7,"Endothelial senescent-cell-specific clearance alleviates metabolic dysfunction in obese mice.. Accumulation of senescent cells is a key contributor to multiple diseases across the lifespan, including metabolic dysfunctio",10.1016/j.cmet.2025.10.009
fisetin_sasp_panel,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,36648735,Increased cellular senescence in doxorubicin-induced murine ovarian injury: effect of senolytics.,GeroScience,2023,preclinical,0.4,0.7,"Increased cellular senescence in doxorubicin-induced murine ovarian injury: effect of senolytics.. Ovarian injury caused by chemotherapy can lead to early menopause, infertility, and even premature senility in female can",10.1007/s11357-023-00728-2
fisetin_nad_nadh_ratio,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,39913122,The Role and Molecular Pathways of SIRT6 in Senescence and Age-related Diseases.,Advanced biology,2025,review,0.4,0.63,"The Role and Molecular Pathways of SIRT6 in Senescence and Age-related Diseases.. SIRT6 is a NAD+-dependent histone deacetylase with crucial roles in controlling DNA damage repair, telomere homeostasis, oxidative stress,",10.1002/adbi.202400469
fisetin_p16ink4a_expression,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",p16INK4a expression,senescence,cell cycle arrest,cellular senescence,intervention_to_surrogate,38062873,Intermittent supplementation with fisetin improves arterial function in old mice by decreasing cellular senescence.,Aging cell,2024,preclinical,0.65,0.75,Intermittent supplementation with fisetin improves arterial function in old mice by decreasing cellular senescence.. Cellular senescence and the senescence-associated secretory phenotype (SASP) contribute to age-related,10.1111/acel.14060
fisetin_sasp_panel,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,38062873,Intermittent supplementation with fisetin improves arterial function in old mice by decreasing cellular senescence.,Aging cell,2024,preclinical,0.65,0.75,Intermittent supplementation with fisetin improves arterial function in old mice by decreasing cellular senescence.. Cellular senescence and the senescence-associated secretory phenotype (SASP) contribute to age-related,10.1111/acel.14060
fisetin_sasp_panel,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,37977898,"Senotherapy, cancer, and aging.",Journal of geriatric oncology,2024,randomized_trial,0.7,0.85,"Senotherapy, cancer, and aging.. INTRODUCTION: We aimed to highlight the effects of senotherapy on the prevention and treatment of cancer in older individuals. The aim of senotherapy is to eliminate senescent cells. Thes",10.1016/j.jgo.2023.101671
fisetin_bcl2,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",BCL2,oncology,apoptosis regulation,genomic instability,intervention_to_surrogate,37977898,"Senotherapy, cancer, and aging.",Journal of geriatric oncology,2024,randomized_trial,0.7,0.65,"de metformin, rapamycin, desatinib, quercitin, fisetin, ruloxitinib, and BCL2 inhibitors. A randomized controlled study of metformin in 3,000 patients aged 65-79 without glucose intoleran",10.1016/j.jgo.2023.101671
fisetin_sasp_panel,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",SASP panel,senescence,secretory phenotype,cellular senescence,intervention_to_surrogate,38630848,Placental senescence pathophysiology is shared between peripartum cardiomyopathy and preeclampsia in mouse and human.,Science translational medicine,2024,preclinical,0.65,0.85,Placental senescence pathophysiology is shared between peripartum cardiomyopathy and preeclampsia in mouse and human.. Peripartum cardiomyopathy (PPCM) is an idiopathic form of pregnancy-induced heart failure associated,10.1126/scitranslmed.adi0077
fisetin_nad_nadh_ratio,Fisetin,"senolytic: Senolytic; reduces senescent endothelial cells and SASP factors including CXCL12, improving nitric oxide bioavailability and lowering mitochondrial oxidative stress/inflammation",NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,27334466,Small Molecules as SIRT Modulators.,Mini reviews in medicinal chemistry,2018,review,0.55,0.63,"Small Molecules as SIRT Modulators.. Sirtuins are a family of NAD+-dependent deacetylases (class III histone deacetylases). Seven mammalian sirtuins, SIRT1-7, are identified, as the functions and locations differ greatly",10.2174/1389557516666160620095103
glp_1_receptor_agonists_hdl_c,Glp-1 Receptor Agonists,"GLP-1 receptor activation; incretin signaling with potential effects on inflammation, wound healing, microvascular perfusion, keratinocyte migration, and fibroblast function",HDL-C,metabolic,lipid metabolism,deregulated nutrient sensing,intervention_to_surrogate,40960239,"Orforglipron, an Oral Small-Molecule GLP-1 Receptor Agonist for Obesity Treatment.",The New England journal of medicine,2025,randomized_trial,0.55,0.82,"Orforglipron, an Oral Small-Molecule GLP-1 Receptor Agonist for Obesity Treatment.. BACKGROUND: Orforglipron, a small-molecule, nonpeptide oral glucagon-like peptide-1 (GLP-1) receptor agonist, is being investigated as a",10.1056/NEJMoa2511774
glp_1_receptor_agonists_hba1c,Glp-1 Receptor Agonists,"GLP-1 receptor activation; incretin signaling with potential effects on inflammation, wound healing, microvascular perfusion, keratinocyte migration, and fibroblast function",HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,37454782,GLP-1 receptor agonists and diabetic retinopathy: A meta-analysis of randomized clinical trials.,Survey of ophthalmology,2023,randomized_trial,0.65,0.82,"significant differences between GLP-1 RA and comparator groups for age, HbA1c, body weight, BMI, duration of diabetes, sex, race, and ethnicity. The influence of GLP-1 RAs on DR and the e",10.1016/j.survophthal.2023.07.002
glp_1_receptor_agonists_hba1c,Glp-1 Receptor Agonists,"GLP-1 receptor activation; incretin signaling with potential effects on inflammation, wound healing, microvascular perfusion, keratinocyte migration, and fibroblast function",HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,39841962,"Efficacy of GLP-1 Receptor Agonists on Weight Loss, BMI, and Waist Circumference for Patients With Obesity or Overweight: A Systematic Review, Meta-analysis, and Meta-regression of 47 Randomized Controlled Trials.",Diabetes care,2025,randomized_trial,0.65,0.82,"without diabetes, with higher baseline weight and BMI but lower baseline HbA1c, and treated over a longer duration. Limitations include substantial statistical heterogeneity, in part due t",10.2337/dc24-1678
