pair_id,intervention_id,surrogate_id,split,intervention,mechanism_hint,surrogate,surrogate_category,pathway,hallmark,evidence_score,surrogate_confidence,literature_support,article_count,similar_interventions,recommendation_reason,embedding_text
empagliflozin_hba1c,empagliflozin,hba1c,train,Empagliflozin,SGLT2 inhibition and glucosuria-driven metabolic unloading,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,0.86,0.84,0.8,7,Metformin|Semaglutide|Acarbose,Established glycemic surrogate for SGLT2-mediated glucose unloading.,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.860. Surrogate confidence: 0.840. Literature support: 0.800. Reason: Established glycemic surrogate for SGLT2-mediated glucose unloading.
empagliflozin_fasting_glucose,empagliflozin,fasting_glucose,train,Empagliflozin,SGLT2 inhibition and glucosuria-driven metabolic unloading,fasting glucose,metabolic,glucose metabolism,deregulated nutrient sensing,0.82,0.79,0.76,6,Metformin|Semaglutide|Acarbose,Direct readout of improved glucose handling.,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: fasting glucose. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.820. Surrogate confidence: 0.790. Literature support: 0.760. Reason: Direct readout of improved glucose handling.
empagliflozin_nt_probnp,empagliflozin,nt_probnp,train,Empagliflozin,SGLT2 inhibition and glucosuria-driven metabolic unloading,NT-proBNP,cardiovascular,cardiac stress,altered intercellular communication,0.8,0.73,0.71,5,Metformin|Semaglutide|Acarbose,Useful cardio-renal stress surrogate for interventions positioned around resilience and risk reduction.,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: NT-proBNP. Biomarker category: cardiovascular. Pathway: cardiac stress. Aging hallmark: altered intercellular communication. Evidence score: 0.800. Surrogate confidence: 0.730. Literature support: 0.710. Reason: Useful cardio-renal stress surrogate for interventions positioned around resilience and risk reduction.
empagliflozin_fasting_insulin,empagliflozin,fasting_insulin,train,Empagliflozin,SGLT2 inhibition and glucosuria-driven metabolic unloading,fasting insulin,metabolic,insulin signaling,deregulated nutrient sensing,0.76,0.72,0.68,5,Metformin|Semaglutide|Acarbose,Helpful if the study narrative includes improved insulin economy.,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: fasting insulin. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.760. Surrogate confidence: 0.720. Literature support: 0.680. Reason: Helpful if the study narrative includes improved insulin economy.
empagliflozin_body_fat_percentage,empagliflozin,body_fat_percentage,train,Empagliflozin,SGLT2 inhibition and glucosuria-driven metabolic unloading,body fat percentage,body composition,energy balance,deregulated nutrient sensing,0.74,0.66,0.63,4,Metformin|Semaglutide|Acarbose,Captures part of the body-composition response in metabolic trials.,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: body fat percentage. Biomarker category: body composition. Pathway: energy balance. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.740. Surrogate confidence: 0.660. Literature support: 0.630. Reason: Captures part of the body-composition response in metabolic trials.
empagliflozin_crp,empagliflozin,crp,train,Empagliflozin,SGLT2 inhibition and glucosuria-driven metabolic unloading,CRP,inflammation,inflammation signaling,inflammaging,0.7,0.6,0.61,4,Metformin|Semaglutide|Acarbose,Secondary systemic inflammation surrogate for broader metabolic improvement.,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.700. Surrogate confidence: 0.600. Literature support: 0.610. Reason: Secondary systemic inflammation surrogate for broader metabolic improvement.
fisetin_sasp_panel,fisetin,sasp_panel,train,Fisetin,senolytic flavonoid with anti-inflammatory and stress-response effects,SASP panel,senescence,secretory phenotype,cellular senescence,0.84,0.78,0.7,4,Dasatinib + Quercetin|Resveratrol|Spermidine,Captures the senescence-linked secretory phenotype targeted by fisetin-like compounds.,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.840. Surrogate confidence: 0.780. Literature support: 0.700. Reason: Captures the senescence-linked secretory phenotype targeted by fisetin-like compounds.
fisetin_p16ink4a_expression,fisetin,p16ink4a_expression,train,Fisetin,senolytic flavonoid with anti-inflammatory and stress-response effects,p16INK4a expression,senescence,cell cycle arrest,cellular senescence,0.81,0.77,0.66,4,Dasatinib + Quercetin|Resveratrol|Spermidine,Useful senescence-burden surrogate for a flavonoid senolytic story.,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: p16INK4a expression. Biomarker category: senescence. Pathway: cell cycle arrest. Aging hallmark: cellular senescence. Evidence score: 0.810. Surrogate confidence: 0.770. Literature support: 0.660. Reason: Useful senescence-burden surrogate for a flavonoid senolytic story.
fisetin_il6,fisetin,il6,train,Fisetin,senolytic flavonoid with anti-inflammatory and stress-response effects,IL6,inflammation,cytokine signaling,inflammaging,0.76,0.68,0.66,4,Dasatinib + Quercetin|Resveratrol|Spermidine,Inflammaging-linked cytokine with strong demo interpretability.,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.760. Surrogate confidence: 0.680. Literature support: 0.660. Reason: Inflammaging-linked cytokine with strong demo interpretability.
fisetin_tnf_alpha,fisetin,tnf_alpha,train,Fisetin,senolytic flavonoid with anti-inflammatory and stress-response effects,TNF-alpha,inflammation,cytokine signaling,inflammaging,0.74,0.65,0.64,4,Dasatinib + Quercetin|Resveratrol|Spermidine,Supports inflammation-resolution claims around fisetin.,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: TNF-alpha. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.740. Surrogate confidence: 0.650. Literature support: 0.640. Reason: Supports inflammation-resolution claims around fisetin.
fisetin_gdf15,fisetin,gdf15,train,Fisetin,senolytic flavonoid with anti-inflammatory and stress-response effects,GDF15,stress response,integrated stress response,cellular senescence,0.69,0.6,0.58,3,Dasatinib + Quercetin|Resveratrol|Spermidine,Stress-response surrogate for systemic adaptation and tissue burden.,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: GDF15. Biomarker category: stress response. Pathway: integrated stress response. Aging hallmark: cellular senescence. Evidence score: 0.690. Surrogate confidence: 0.600. Literature support: 0.580. Reason: Stress-response surrogate for systemic adaptation and tissue burden.
liraglutide_hba1c,liraglutide,hba1c,train,Liraglutide,GLP-1 receptor agonism and metabolic regulation,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,0.88,0.86,0.83,7,Semaglutide|Metformin|Empagliflozin,Reliable glycemic surrogate with strong translational familiarity.,Drug intervention: Liraglutide. Mechanism: GLP-1 receptor agonism and metabolic regulation. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.880. Surrogate confidence: 0.860. Literature support: 0.830. Reason: Reliable glycemic surrogate with strong translational familiarity.
liraglutide_fasting_glucose,liraglutide,fasting_glucose,train,Liraglutide,GLP-1 receptor agonism and metabolic regulation,fasting glucose,metabolic,glucose metabolism,deregulated nutrient sensing,0.85,0.82,0.79,6,Semaglutide|Metformin|Empagliflozin,Direct metabolic readout for GLP-1 driven intervention response.,Drug intervention: Liraglutide. Mechanism: GLP-1 receptor agonism and metabolic regulation. Recommended surrogate: fasting glucose. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.850. Surrogate confidence: 0.820. Literature support: 0.790. Reason: Direct metabolic readout for GLP-1 driven intervention response.
liraglutide_body_fat_percentage,liraglutide,body_fat_percentage,train,Liraglutide,GLP-1 receptor agonism and metabolic regulation,body fat percentage,body composition,energy balance,deregulated nutrient sensing,0.82,0.75,0.76,5,Semaglutide|Metformin|Empagliflozin,Good demo-friendly surrogate for adiposity reduction over months.,Drug intervention: Liraglutide. Mechanism: GLP-1 receptor agonism and metabolic regulation. Recommended surrogate: body fat percentage. Biomarker category: body composition. Pathway: energy balance. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.820. Surrogate confidence: 0.750. Literature support: 0.760. Reason: Good demo-friendly surrogate for adiposity reduction over months.
liraglutide_fasting_insulin,liraglutide,fasting_insulin,train,Liraglutide,GLP-1 receptor agonism and metabolic regulation,fasting insulin,metabolic,insulin signaling,deregulated nutrient sensing,0.8,0.77,0.72,5,Semaglutide|Metformin|Empagliflozin,Useful if the pitch emphasizes insulin sensitivity improvement.,Drug intervention: Liraglutide. Mechanism: GLP-1 receptor agonism and metabolic regulation. Recommended surrogate: fasting insulin. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.800. Surrogate confidence: 0.770. Literature support: 0.720. Reason: Useful if the pitch emphasizes insulin sensitivity improvement.
liraglutide_triglycerides,liraglutide,triglycerides,train,Liraglutide,GLP-1 receptor agonism and metabolic regulation,triglycerides,metabolic,lipid metabolism,deregulated nutrient sensing,0.76,0.67,0.68,5,Semaglutide|Metformin|Empagliflozin,Practical lipid surrogate to show broader cardiometabolic effect.,Drug intervention: Liraglutide. Mechanism: GLP-1 receptor agonism and metabolic regulation. Recommended surrogate: triglycerides. Biomarker category: metabolic. Pathway: lipid metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.760. Surrogate confidence: 0.670. Literature support: 0.680. Reason: Practical lipid surrogate to show broader cardiometabolic effect.
liraglutide_crp,liraglutide,crp,train,Liraglutide,GLP-1 receptor agonism and metabolic regulation,CRP,inflammation,inflammation signaling,inflammaging,0.72,0.62,0.63,4,Semaglutide|Metformin|Empagliflozin,Links metabolic response to reduced chronic low-grade inflammation.,Drug intervention: Liraglutide. Mechanism: GLP-1 receptor agonism and metabolic regulation. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.720. Surrogate confidence: 0.620. Literature support: 0.630. Reason: Links metabolic response to reduced chronic low-grade inflammation.
metformin_hba1c,metformin,hba1c,train,Metformin,AMPK activation and glucose homeostasis,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,0.9,0.88,0.86,8,Acarbose|Semaglutide|Empagliflozin,Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.
metformin_fasting_insulin,metformin,fasting_insulin,train,Metformin,AMPK activation and glucose homeostasis,fasting insulin,metabolic,insulin signaling,deregulated nutrient sensing,0.86,0.84,0.8,7,Acarbose|Semaglutide|Empagliflozin,Useful for early readout of improved insulin sensitivity downstream of AMPK activation.,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: fasting insulin. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.860. Surrogate confidence: 0.840. Literature support: 0.800. Reason: Useful for early readout of improved insulin sensitivity downstream of AMPK activation.
metformin_homa_ir,metformin,homa_ir,train,Metformin,AMPK activation and glucose homeostasis,HOMA-IR,metabolic,insulin signaling,deregulated nutrient sensing,0.84,0.82,0.78,6,Acarbose|Semaglutide|Empagliflozin,Composite insulin-resistance surrogate aligned with metabolic flexibility claims.,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HOMA-IR. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.840. Surrogate confidence: 0.820. Literature support: 0.780. Reason: Composite insulin-resistance surrogate aligned with metabolic flexibility claims.
metformin_gdf15,metformin,gdf15,train,Metformin,AMPK activation and glucose homeostasis,GDF15,stress response,integrated stress response,cellular senescence,0.8,0.74,0.72,5,Acarbose|Semaglutide|Empagliflozin,Mechanistically relevant stress-response biomarker frequently discussed for metformin exposure and response.,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: GDF15. Biomarker category: stress response. Pathway: integrated stress response. Aging hallmark: cellular senescence. Evidence score: 0.800. Surrogate confidence: 0.740. Literature support: 0.720. Reason: Mechanistically relevant stress-response biomarker frequently discussed for metformin exposure and response.
metformin_crp,metformin,crp,train,Metformin,AMPK activation and glucose homeostasis,CRP,inflammation,inflammation signaling,inflammaging,0.75,0.66,0.7,5,Acarbose|Semaglutide|Empagliflozin,Captures the inflammatory spillover often improved when metabolic control improves.,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.750. Surrogate confidence: 0.660. Literature support: 0.700. Reason: Captures the inflammatory spillover often improved when metabolic control improves.
metformin_il6,metformin,il6,train,Metformin,AMPK activation and glucose homeostasis,IL6,inflammation,cytokine signaling,inflammaging,0.72,0.63,0.67,4,Acarbose|Semaglutide|Empagliflozin,Links metabolic intervention response to inflammaging biology.,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.720. Surrogate confidence: 0.630. Literature support: 0.670. Reason: Links metabolic intervention response to inflammaging biology.
nmn_nad_nadh_ratio,nmn,nad_nadh_ratio,val,NMN,NAD+ precursor supporting redox balance and metabolic resilience,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,0.88,0.8,0.75,6,Nicotinamide Riboside|Metformin|Spermidine,Primary surrogate for confirming on-target NAD restoration.,Drug intervention: NMN. Mechanism: NAD+ precursor supporting redox balance and metabolic resilience. Recommended surrogate: NAD+ NADH ratio. Biomarker category: mitochondrial. Pathway: redox balance. Aging hallmark: mitochondrial dysfunction. Evidence score: 0.880. Surrogate confidence: 0.800. Literature support: 0.750. Reason: Primary surrogate for confirming on-target NAD restoration.
nmn_atp_production,nmn,atp_production,val,NMN,NAD+ precursor supporting redox balance and metabolic resilience,ATP production,mitochondrial,bioenergetics,mitochondrial dysfunction,0.79,0.68,0.63,4,Nicotinamide Riboside|Metformin|Spermidine,Supports the mitochondrial-performance narrative in a demo.,Drug intervention: NMN. Mechanism: NAD+ precursor supporting redox balance and metabolic resilience. Recommended surrogate: ATP production. Biomarker category: mitochondrial. Pathway: bioenergetics. Aging hallmark: mitochondrial dysfunction. Evidence score: 0.790. Surrogate confidence: 0.680. Literature support: 0.630. Reason: Supports the mitochondrial-performance narrative in a demo.
nmn_mtdna_copy_number,nmn,mtdna_copy_number,val,NMN,NAD+ precursor supporting redox balance and metabolic resilience,mtDNA copy number,mitochondrial,mitochondrial maintenance,mitochondrial dysfunction,0.75,0.64,0.6,4,Nicotinamide Riboside|Metformin|Spermidine,Practical mitochondrial maintenance readout when energy metabolism is central.,Drug intervention: NMN. Mechanism: NAD+ precursor supporting redox balance and metabolic resilience. Recommended surrogate: mtDNA copy number. Biomarker category: mitochondrial. Pathway: mitochondrial maintenance. Aging hallmark: mitochondrial dysfunction. Evidence score: 0.750. Surrogate confidence: 0.640. Literature support: 0.600. Reason: Practical mitochondrial maintenance readout when energy metabolism is central.
nmn_epigenetic_clock,nmn,epigenetic_clock,val,NMN,NAD+ precursor supporting redox balance and metabolic resilience,epigenetic clock,epigenetic aging,aging clocks,genomic instability,0.7,0.72,0.52,2,Nicotinamide Riboside|Metformin|Spermidine,Ambitious but demo-relevant systems-level surrogate for biological age framing.,Drug intervention: NMN. Mechanism: NAD+ precursor supporting redox balance and metabolic resilience. Recommended surrogate: epigenetic clock. Biomarker category: epigenetic aging. Pathway: aging clocks. Aging hallmark: genomic instability. Evidence score: 0.700. Surrogate confidence: 0.720. Literature support: 0.520. Reason: Ambitious but demo-relevant systems-level surrogate for biological age framing.
nmn_fasting_insulin,nmn,fasting_insulin,val,NMN,NAD+ precursor supporting redox balance and metabolic resilience,fasting insulin,metabolic,insulin signaling,deregulated nutrient sensing,0.69,0.61,0.58,3,Nicotinamide Riboside|Metformin|Spermidine,Captures downstream metabolic benefit if present.,Drug intervention: NMN. Mechanism: NAD+ precursor supporting redox balance and metabolic resilience. Recommended surrogate: fasting insulin. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.690. Surrogate confidence: 0.610. Literature support: 0.580. Reason: Captures downstream metabolic benefit if present.
nmn_crp,nmn,crp,val,NMN,NAD+ precursor supporting redox balance and metabolic resilience,CRP,inflammation,inflammation signaling,inflammaging,0.65,0.55,0.55,3,Nicotinamide Riboside|Metformin|Spermidine,Secondary inflammation readout when systemic stress improves.,Drug intervention: NMN. Mechanism: NAD+ precursor supporting redox balance and metabolic resilience. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.650. Surrogate confidence: 0.550. Literature support: 0.550. Reason: Secondary inflammation readout when systemic stress improves.
nicotinamide_riboside_nad_nadh_ratio,nicotinamide_riboside,nad_nadh_ratio,train,Nicotinamide Riboside,NAD+ precursor supporting mitochondrial energetics,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,0.89,0.81,0.77,6,NMN|Metformin|Spermidine,Closest mechanistic surrogate to the intended NAD-boosting effect.,Drug intervention: Nicotinamide Riboside. Mechanism: NAD+ precursor supporting mitochondrial energetics. Recommended surrogate: NAD+ NADH ratio. Biomarker category: mitochondrial. Pathway: redox balance. Aging hallmark: mitochondrial dysfunction. Evidence score: 0.890. Surrogate confidence: 0.810. Literature support: 0.770. Reason: Closest mechanistic surrogate to the intended NAD-boosting effect.
nicotinamide_riboside_atp_production,nicotinamide_riboside,atp_production,train,Nicotinamide Riboside,NAD+ precursor supporting mitochondrial energetics,ATP production,mitochondrial,bioenergetics,mitochondrial dysfunction,0.8,0.69,0.65,4,NMN|Metformin|Spermidine,Functional mitochondrial-energy surrogate that strengthens the bioenergetics story.,Drug intervention: Nicotinamide Riboside. Mechanism: NAD+ precursor supporting mitochondrial energetics. Recommended surrogate: ATP production. Biomarker category: mitochondrial. Pathway: bioenergetics. Aging hallmark: mitochondrial dysfunction. Evidence score: 0.800. Surrogate confidence: 0.690. Literature support: 0.650. Reason: Functional mitochondrial-energy surrogate that strengthens the bioenergetics story.
nicotinamide_riboside_mtdna_copy_number,nicotinamide_riboside,mtdna_copy_number,train,Nicotinamide Riboside,NAD+ precursor supporting mitochondrial energetics,mtDNA copy number,mitochondrial,mitochondrial maintenance,mitochondrial dysfunction,0.74,0.63,0.6,4,NMN|Metformin|Spermidine,Secondary mitochondrial maintenance readout for longer studies.,Drug intervention: Nicotinamide Riboside. Mechanism: NAD+ precursor supporting mitochondrial energetics. Recommended surrogate: mtDNA copy number. Biomarker category: mitochondrial. Pathway: mitochondrial maintenance. Aging hallmark: mitochondrial dysfunction. Evidence score: 0.740. Surrogate confidence: 0.630. Literature support: 0.600. Reason: Secondary mitochondrial maintenance readout for longer studies.
