triplet_id,split,task_type,anchor_text,positive_id,positive_text,negative_id,negative_text,negative_strategy,target_intervention,target_surrogate
triplet_pair_acarbose_crp,train,query_to_pair,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on inflammation signaling and inflammaging.,pair:acarbose_crp,Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.670. Surrogate confidence: 0.580. Literature support: 0.560. Reason: Secondary inflammation surrogate when metabolic improvement reduces low-grade inflammation.,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,same_category,Acarbose,CRP
triplet_surrogate_acarbose_crp,train,query_to_surrogate,Recommend a surrogate biomarker for Acarbose with mechanism postprandial glucose modulation focusing on inflammation signaling and inflammaging.,surrogate:crp,"Surrogate biomarker: CRP. Category: inflammation. Pathways: inflammation signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Metformin, Resveratrol, Liraglutide, Spermidine, Empagliflozin, Dasatinib + Quercetin, Acarbose.",surrogate:il6,"Surrogate biomarker: IL6. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Dasatinib + Quercetin, Fisetin, Metformin, Resveratrol, Spermidine, Nicotinamide Riboside.",same_category,Acarbose,CRP
triplet_pair_dasatinib_quercetin_sasp_panel,test,query_to_pair,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on secretory phenotype and cellular senescence.,pair:dasatinib_quercetin_sasp_panel,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.900. Surrogate confidence: 0.840. Literature support: 0.790. Reason: Best match when the intervention claim is senolysis and reduced secretory phenotype.,pair:fisetin_sasp_panel,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.840. Surrogate confidence: 0.780. Literature support: 0.700. Reason: Captures the senescence-linked secretory phenotype targeted by fisetin-like compounds.,same_category,Dasatinib + Quercetin,SASP panel
triplet_surrogate_dasatinib_quercetin_sasp_panel,test,query_to_surrogate,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on secretory phenotype and cellular senescence.,surrogate:sasp_panel,"Surrogate biomarker: SASP panel. Category: senescence. Pathways: secretory phenotype. Aging hallmarks: cellular senescence. Observed across interventions: Dasatinib + Quercetin, Fisetin.",surrogate:nad_nadh_ratio,"Surrogate biomarker: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN.",fallback,Dasatinib + Quercetin,SASP panel
triplet_pair_dasatinib_quercetin_p16ink4a_expression,test,query_to_pair,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on cell cycle arrest and cellular senescence.,pair:dasatinib_quercetin_p16ink4a_expression,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: p16INK4a expression. Biomarker category: senescence. Pathway: cell cycle arrest. Aging hallmark: cellular senescence. Evidence score: 0.880. Surrogate confidence: 0.850. Literature support: 0.760. Reason: Mechanistically close surrogate for senescent cell burden reduction.,pair:fisetin_sasp_panel,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.840. Surrogate confidence: 0.780. Literature support: 0.700. Reason: Captures the senescence-linked secretory phenotype targeted by fisetin-like compounds.,same_category,Dasatinib + Quercetin,p16INK4a expression
triplet_surrogate_dasatinib_quercetin_p16ink4a_expression,test,query_to_surrogate,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on cell cycle arrest and cellular senescence.,surrogate:p16ink4a_expression,"Surrogate biomarker: p16INK4a expression. Category: senescence. Pathways: cell cycle arrest. Aging hallmarks: cellular senescence. Observed across interventions: Dasatinib + Quercetin, Fisetin.",surrogate:nad_nadh_ratio,"Surrogate biomarker: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN.",fallback,Dasatinib + Quercetin,p16INK4a expression
triplet_pair_dasatinib_quercetin_il6,test,query_to_pair,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on cytokine signaling and inflammaging.,pair:dasatinib_quercetin_il6,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.800. Surrogate confidence: 0.700. Literature support: 0.720. Reason: Inflammatory cytokine linked to SASP and inflammaging.,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,same_category,Dasatinib + Quercetin,IL6
triplet_surrogate_dasatinib_quercetin_il6,test,query_to_surrogate,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on cytokine signaling and inflammaging.,surrogate:il6,"Surrogate biomarker: IL6. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Dasatinib + Quercetin, Fisetin, Metformin, Resveratrol, Spermidine, Nicotinamide Riboside.",surrogate:nad_nadh_ratio,"Surrogate biomarker: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN.",fallback,Dasatinib + Quercetin,IL6
triplet_pair_dasatinib_quercetin_tnf_alpha,test,query_to_pair,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on cytokine signaling and inflammaging.,pair:dasatinib_quercetin_tnf_alpha,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: TNF-alpha. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.760. Surrogate confidence: 0.660. Literature support: 0.680. Reason: Supports the anti-inflammatory senescence-clearance story.,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,same_category,Dasatinib + Quercetin,TNF-alpha
triplet_surrogate_dasatinib_quercetin_tnf_alpha,test,query_to_surrogate,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on cytokine signaling and inflammaging.,surrogate:tnf_alpha,"Surrogate biomarker: TNF-alpha. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Dasatinib + Quercetin, Fisetin, Resveratrol.",surrogate:nad_nadh_ratio,"Surrogate biomarker: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN.",fallback,Dasatinib + Quercetin,TNF-alpha
triplet_pair_dasatinib_quercetin_gdf15,test,query_to_pair,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on integrated stress response and cellular senescence.,pair:dasatinib_quercetin_gdf15,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: GDF15. Biomarker category: stress response. Pathway: integrated stress response. Aging hallmark: cellular senescence. Evidence score: 0.730. Surrogate confidence: 0.640. Literature support: 0.610. Reason: Stress and tissue-dysfunction marker useful for translational follow-up.,pair:metformin_gdf15,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: GDF15. Biomarker category: stress response. Pathway: integrated stress response. Aging hallmark: cellular senescence. Evidence score: 0.800. Surrogate confidence: 0.740. Literature support: 0.720. Reason: Mechanistically relevant stress-response biomarker frequently discussed for metformin exposure and response.,same_category,Dasatinib + Quercetin,GDF15
triplet_surrogate_dasatinib_quercetin_gdf15,test,query_to_surrogate,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on integrated stress response and cellular senescence.,surrogate:gdf15,"Surrogate biomarker: GDF15. Category: stress response. Pathways: integrated stress response. Aging hallmarks: cellular senescence. Observed across interventions: Metformin, Dasatinib + Quercetin, Fisetin, Rapamycin, Spermidine.",surrogate:nad_nadh_ratio,"Surrogate biomarker: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN.",fallback,Dasatinib + Quercetin,GDF15
triplet_pair_dasatinib_quercetin_crp,test,query_to_pair,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on inflammation signaling and inflammaging.,pair:dasatinib_quercetin_crp,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.690. Surrogate confidence: 0.580. Literature support: 0.570. Reason: Easy-to-explain systemic inflammation surrogate for demos.,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,same_category,Dasatinib + Quercetin,CRP
triplet_surrogate_dasatinib_quercetin_crp,test,query_to_surrogate,Recommend a surrogate biomarker for Dasatinib + Quercetin with mechanism senolytic combination targeting senescent cell survival pathways focusing on inflammation signaling and inflammaging.,surrogate:crp,"Surrogate biomarker: CRP. Category: inflammation. Pathways: inflammation signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Metformin, Resveratrol, Liraglutide, Spermidine, Empagliflozin, Dasatinib + Quercetin, Acarbose.",surrogate:nad_nadh_ratio,"Surrogate biomarker: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN.",fallback,Dasatinib + Quercetin,CRP
triplet_pair_empagliflozin_hba1c,train,query_to_pair,Recommend a surrogate biomarker for Empagliflozin with mechanism SGLT2 inhibition and glucosuria-driven metabolic unloading focusing on glucose metabolism and deregulated nutrient sensing.,pair:empagliflozin_hba1c,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.860. Surrogate confidence: 0.840. Literature support: 0.800. Reason: Established glycemic surrogate for SGLT2-mediated glucose unloading.,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,same_category,Empagliflozin,HbA1c
triplet_surrogate_empagliflozin_hba1c,train,query_to_surrogate,Recommend a surrogate biomarker for Empagliflozin with mechanism SGLT2 inhibition and glucosuria-driven metabolic unloading focusing on glucose metabolism and deregulated nutrient sensing.,surrogate:hba1c,"Surrogate biomarker: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose.",surrogate:homa_ir,"Surrogate biomarker: HOMA-IR. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Acarbose, Resveratrol.",same_category,Empagliflozin,HbA1c
triplet_pair_empagliflozin_fasting_glucose,train,query_to_pair,Recommend a surrogate biomarker for Empagliflozin with mechanism SGLT2 inhibition and glucosuria-driven metabolic unloading focusing on glucose metabolism and deregulated nutrient sensing.,pair:empagliflozin_fasting_glucose,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: fasting glucose. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.820. Surrogate confidence: 0.790. Literature support: 0.760. Reason: Direct readout of improved glucose handling.,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,same_category,Empagliflozin,fasting glucose
triplet_surrogate_empagliflozin_fasting_glucose,train,query_to_surrogate,Recommend a surrogate biomarker for Empagliflozin with mechanism SGLT2 inhibition and glucosuria-driven metabolic unloading focusing on glucose metabolism and deregulated nutrient sensing.,surrogate:fasting_glucose,"Surrogate biomarker: fasting glucose. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Liraglutide, Acarbose, Empagliflozin, Resveratrol.",surrogate:homa_ir,"Surrogate biomarker: HOMA-IR. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Acarbose, Resveratrol.",same_category,Empagliflozin,fasting glucose
triplet_pair_empagliflozin_nt_probnp,train,query_to_pair,Recommend a surrogate biomarker for Empagliflozin with mechanism SGLT2 inhibition and glucosuria-driven metabolic unloading focusing on cardiac stress and altered intercellular communication.,pair:empagliflozin_nt_probnp,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: NT-proBNP. Biomarker category: cardiovascular. Pathway: cardiac stress. Aging hallmark: altered intercellular communication. Evidence score: 0.800. Surrogate confidence: 0.730. Literature support: 0.710. Reason: Useful cardio-renal stress surrogate for interventions positioned around resilience and risk reduction.,pair:dasatinib_quercetin_sasp_panel,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.900. Surrogate confidence: 0.840. Literature support: 0.790. Reason: Best match when the intervention claim is senolysis and reduced secretory phenotype.,fallback,Empagliflozin,NT-proBNP
triplet_surrogate_empagliflozin_nt_probnp,train,query_to_surrogate,Recommend a surrogate biomarker for Empagliflozin with mechanism SGLT2 inhibition and glucosuria-driven metabolic unloading focusing on cardiac stress and altered intercellular communication.,surrogate:nt_probnp,Surrogate biomarker: NT-proBNP. Category: cardiovascular. Pathways: cardiac stress. Aging hallmarks: altered intercellular communication. Observed across interventions: Empagliflozin.,surrogate:nad_nadh_ratio,"Surrogate biomarker: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN.",fallback,Empagliflozin,NT-proBNP
triplet_pair_empagliflozin_fasting_insulin,train,query_to_pair,Recommend a surrogate biomarker for Empagliflozin with mechanism SGLT2 inhibition and glucosuria-driven metabolic unloading focusing on insulin signaling and deregulated nutrient sensing.,pair:empagliflozin_fasting_insulin,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: fasting insulin. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.760. Surrogate confidence: 0.720. Literature support: 0.680. Reason: Helpful if the study narrative includes improved insulin economy.,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,same_category,Empagliflozin,fasting insulin
triplet_surrogate_empagliflozin_fasting_insulin,train,query_to_surrogate,Recommend a surrogate biomarker for Empagliflozin with mechanism SGLT2 inhibition and glucosuria-driven metabolic unloading focusing on insulin signaling and deregulated nutrient sensing.,surrogate:fasting_insulin,"Surrogate biomarker: fasting insulin. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Semaglutide, Liraglutide, Acarbose, Empagliflozin, Rapamycin, NMN, Nicotinamide Riboside.",surrogate:homa_ir,"Surrogate biomarker: HOMA-IR. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Acarbose, Resveratrol.",same_category,Empagliflozin,fasting insulin
triplet_pair_empagliflozin_body_fat_percentage,train,query_to_pair,Recommend a surrogate biomarker for Empagliflozin with mechanism SGLT2 inhibition and glucosuria-driven metabolic unloading focusing on energy balance and deregulated nutrient sensing.,pair:empagliflozin_body_fat_percentage,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: body fat percentage. Biomarker category: body composition. Pathway: energy balance. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.740. Surrogate confidence: 0.660. Literature support: 0.630. Reason: Captures part of the body-composition response in metabolic trials.,pair:semaglutide_body_fat_percentage,Drug intervention: Semaglutide. Mechanism: GLP-1 receptor agonism and satiety signaling. Recommended surrogate: body fat percentage. Biomarker category: body composition. Pathway: energy balance. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.840. Surrogate confidence: 0.780. Literature support: 0.800. Reason: Strong body-composition surrogate consistent with satiety-driven weight reduction.,same_category,Empagliflozin,body fat percentage
triplet_surrogate_empagliflozin_body_fat_percentage,train,query_to_surrogate,Recommend a surrogate biomarker for Empagliflozin with mechanism SGLT2 inhibition and glucosuria-driven metabolic unloading focusing on energy balance and deregulated nutrient sensing.,surrogate:body_fat_percentage,"Surrogate biomarker: body fat percentage. Category: body composition. Pathways: energy balance. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Liraglutide, Empagliflozin.",surrogate:homa_ir,"Surrogate biomarker: HOMA-IR. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Acarbose, Resveratrol.",same_hallmark,Empagliflozin,body fat percentage
