example_id,split,query_text,candidate_id,candidate_text,candidate_type,label,target_intervention,target_surrogate,negative_strategy
example_neg_dasatinib_quercetin_gdf15,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would GDF15 be a good surrogate endpoint?,pair:metformin_gdf15,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: GDF15. Biomarker category: stress response. Pathway: integrated stress response. Aging hallmark: cellular senescence. Evidence score: 0.800. Surrogate confidence: 0.740. Literature support: 0.720. Reason: Mechanistically relevant stress-response biomarker frequently discussed for metformin exposure and response.,pair,0,Dasatinib + Quercetin,GDF15,same_category
example_pos_dasatinib_quercetin_crp,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would CRP be a good surrogate endpoint?,pair:dasatinib_quercetin_crp,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.690. Surrogate confidence: 0.580. Literature support: 0.570. Reason: Easy-to-explain systemic inflammation surrogate for demos.,pair,1,Dasatinib + Quercetin,CRP,
example_neg_dasatinib_quercetin_crp,test,Dasatinib + Quercetin-like intervention targeting senolytic combination targeting senescent cell survival pathways. Would CRP be a good surrogate endpoint?,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,pair,0,Dasatinib + Quercetin,CRP,same_category
example_pos_empagliflozin_hba1c,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would HbA1c be a good surrogate endpoint?,pair:empagliflozin_hba1c,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.860. Surrogate confidence: 0.840. Literature support: 0.800. Reason: Established glycemic surrogate for SGLT2-mediated glucose unloading.,pair,1,Empagliflozin,HbA1c,
example_neg_empagliflozin_hba1c,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would HbA1c be a good surrogate endpoint?,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,pair,0,Empagliflozin,HbA1c,same_category
example_pos_empagliflozin_fasting_glucose,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would fasting glucose be a good surrogate endpoint?,pair:empagliflozin_fasting_glucose,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: fasting glucose. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.820. Surrogate confidence: 0.790. Literature support: 0.760. Reason: Direct readout of improved glucose handling.,pair,1,Empagliflozin,fasting glucose,
example_neg_empagliflozin_fasting_glucose,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would fasting glucose be a good surrogate endpoint?,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,pair,0,Empagliflozin,fasting glucose,same_category
example_pos_empagliflozin_nt_probnp,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would NT-proBNP be a good surrogate endpoint?,pair:empagliflozin_nt_probnp,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: NT-proBNP. Biomarker category: cardiovascular. Pathway: cardiac stress. Aging hallmark: altered intercellular communication. Evidence score: 0.800. Surrogate confidence: 0.730. Literature support: 0.710. Reason: Useful cardio-renal stress surrogate for interventions positioned around resilience and risk reduction.,pair,1,Empagliflozin,NT-proBNP,
example_neg_empagliflozin_nt_probnp,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would NT-proBNP be a good surrogate endpoint?,pair:dasatinib_quercetin_sasp_panel,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.900. Surrogate confidence: 0.840. Literature support: 0.790. Reason: Best match when the intervention claim is senolysis and reduced secretory phenotype.,pair,0,Empagliflozin,NT-proBNP,fallback
example_pos_empagliflozin_fasting_insulin,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would fasting insulin be a good surrogate endpoint?,pair:empagliflozin_fasting_insulin,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: fasting insulin. Biomarker category: metabolic. Pathway: insulin signaling. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.760. Surrogate confidence: 0.720. Literature support: 0.680. Reason: Helpful if the study narrative includes improved insulin economy.,pair,1,Empagliflozin,fasting insulin,
example_neg_empagliflozin_fasting_insulin,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would fasting insulin be a good surrogate endpoint?,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,pair,0,Empagliflozin,fasting insulin,same_category
example_pos_empagliflozin_body_fat_percentage,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would body fat percentage be a good surrogate endpoint?,pair:empagliflozin_body_fat_percentage,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: body fat percentage. Biomarker category: body composition. Pathway: energy balance. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.740. Surrogate confidence: 0.660. Literature support: 0.630. Reason: Captures part of the body-composition response in metabolic trials.,pair,1,Empagliflozin,body fat percentage,
example_neg_empagliflozin_body_fat_percentage,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would body fat percentage be a good surrogate endpoint?,pair:semaglutide_body_fat_percentage,Drug intervention: Semaglutide. Mechanism: GLP-1 receptor agonism and satiety signaling. Recommended surrogate: body fat percentage. Biomarker category: body composition. Pathway: energy balance. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.840. Surrogate confidence: 0.780. Literature support: 0.800. Reason: Strong body-composition surrogate consistent with satiety-driven weight reduction.,pair,0,Empagliflozin,body fat percentage,same_category
example_pos_empagliflozin_crp,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would CRP be a good surrogate endpoint?,pair:empagliflozin_crp,Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Recommended surrogate: CRP. Biomarker category: inflammation. Pathway: inflammation signaling. Aging hallmark: inflammaging. Evidence score: 0.700. Surrogate confidence: 0.600. Literature support: 0.610. Reason: Secondary systemic inflammation surrogate for broader metabolic improvement.,pair,1,Empagliflozin,CRP,
example_neg_empagliflozin_crp,train,Empagliflozin-like intervention targeting SGLT2 inhibition and glucosuria-driven metabolic unloading. Would CRP be a good surrogate endpoint?,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,pair,0,Empagliflozin,CRP,same_category
example_pos_fisetin_sasp_panel,train,Fisetin-like intervention targeting senolytic flavonoid with anti-inflammatory and stress-response effects. Would SASP panel be a good surrogate endpoint?,pair:fisetin_sasp_panel,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.840. Surrogate confidence: 0.780. Literature support: 0.700. Reason: Captures the senescence-linked secretory phenotype targeted by fisetin-like compounds.,pair,1,Fisetin,SASP panel,
example_neg_fisetin_sasp_panel,train,Fisetin-like intervention targeting senolytic flavonoid with anti-inflammatory and stress-response effects. Would SASP panel be a good surrogate endpoint?,pair:dasatinib_quercetin_sasp_panel,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.900. Surrogate confidence: 0.840. Literature support: 0.790. Reason: Best match when the intervention claim is senolysis and reduced secretory phenotype.,pair,0,Fisetin,SASP panel,same_category
example_pos_fisetin_p16ink4a_expression,train,Fisetin-like intervention targeting senolytic flavonoid with anti-inflammatory and stress-response effects. Would p16INK4a expression be a good surrogate endpoint?,pair:fisetin_p16ink4a_expression,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: p16INK4a expression. Biomarker category: senescence. Pathway: cell cycle arrest. Aging hallmark: cellular senescence. Evidence score: 0.810. Surrogate confidence: 0.770. Literature support: 0.660. Reason: Useful senescence-burden surrogate for a flavonoid senolytic story.,pair,1,Fisetin,p16INK4a expression,
example_neg_fisetin_p16ink4a_expression,train,Fisetin-like intervention targeting senolytic flavonoid with anti-inflammatory and stress-response effects. Would p16INK4a expression be a good surrogate endpoint?,pair:dasatinib_quercetin_sasp_panel,Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Recommended surrogate: SASP panel. Biomarker category: senescence. Pathway: secretory phenotype. Aging hallmark: cellular senescence. Evidence score: 0.900. Surrogate confidence: 0.840. Literature support: 0.790. Reason: Best match when the intervention claim is senolysis and reduced secretory phenotype.,pair,0,Fisetin,p16INK4a expression,same_category
example_pos_fisetin_il6,train,Fisetin-like intervention targeting senolytic flavonoid with anti-inflammatory and stress-response effects. Would IL6 be a good surrogate endpoint?,pair:fisetin_il6,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.760. Surrogate confidence: 0.680. Literature support: 0.660. Reason: Inflammaging-linked cytokine with strong demo interpretability.,pair,1,Fisetin,IL6,
example_neg_fisetin_il6,train,Fisetin-like intervention targeting senolytic flavonoid with anti-inflammatory and stress-response effects. Would IL6 be a good surrogate endpoint?,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,pair,0,Fisetin,IL6,same_category
example_pos_fisetin_tnf_alpha,train,Fisetin-like intervention targeting senolytic flavonoid with anti-inflammatory and stress-response effects. Would TNF-alpha be a good surrogate endpoint?,pair:fisetin_tnf_alpha,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: TNF-alpha. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.740. Surrogate confidence: 0.650. Literature support: 0.640. Reason: Supports inflammation-resolution claims around fisetin.,pair,1,Fisetin,TNF-alpha,
example_neg_fisetin_tnf_alpha,train,Fisetin-like intervention targeting senolytic flavonoid with anti-inflammatory and stress-response effects. Would TNF-alpha be a good surrogate endpoint?,pair:rapamycin_il6,Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Recommended surrogate: IL6. Biomarker category: inflammation. Pathway: cytokine signaling. Aging hallmark: inflammaging. Evidence score: 0.820. Surrogate confidence: 0.710. Literature support: 0.740. Reason: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition.,pair,0,Fisetin,TNF-alpha,same_category
example_pos_fisetin_gdf15,train,Fisetin-like intervention targeting senolytic flavonoid with anti-inflammatory and stress-response effects. Would GDF15 be a good surrogate endpoint?,pair:fisetin_gdf15,Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Recommended surrogate: GDF15. Biomarker category: stress response. Pathway: integrated stress response. Aging hallmark: cellular senescence. Evidence score: 0.690. Surrogate confidence: 0.600. Literature support: 0.580. Reason: Stress-response surrogate for systemic adaptation and tissue burden.,pair,1,Fisetin,GDF15,
example_neg_fisetin_gdf15,train,Fisetin-like intervention targeting senolytic flavonoid with anti-inflammatory and stress-response effects. Would GDF15 be a good surrogate endpoint?,pair:metformin_gdf15,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: GDF15. Biomarker category: stress response. Pathway: integrated stress response. Aging hallmark: cellular senescence. Evidence score: 0.800. Surrogate confidence: 0.740. Literature support: 0.720. Reason: Mechanistically relevant stress-response biomarker frequently discussed for metformin exposure and response.,pair,0,Fisetin,GDF15,same_category
example_pos_liraglutide_hba1c,train,Liraglutide-like intervention targeting GLP-1 receptor agonism and metabolic regulation. Would HbA1c be a good surrogate endpoint?,pair:liraglutide_hba1c,Drug intervention: Liraglutide. Mechanism: GLP-1 receptor agonism and metabolic regulation. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.880. Surrogate confidence: 0.860. Literature support: 0.830. Reason: Reliable glycemic surrogate with strong translational familiarity.,pair,1,Liraglutide,HbA1c,
example_neg_liraglutide_hba1c,train,Liraglutide-like intervention targeting GLP-1 receptor agonism and metabolic regulation. Would HbA1c be a good surrogate endpoint?,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,pair,0,Liraglutide,HbA1c,same_category
example_pos_liraglutide_fasting_glucose,train,Liraglutide-like intervention targeting GLP-1 receptor agonism and metabolic regulation. Would fasting glucose be a good surrogate endpoint?,pair:liraglutide_fasting_glucose,Drug intervention: Liraglutide. Mechanism: GLP-1 receptor agonism and metabolic regulation. Recommended surrogate: fasting glucose. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.850. Surrogate confidence: 0.820. Literature support: 0.790. Reason: Direct metabolic readout for GLP-1 driven intervention response.,pair,1,Liraglutide,fasting glucose,
example_neg_liraglutide_fasting_glucose,train,Liraglutide-like intervention targeting GLP-1 receptor agonism and metabolic regulation. Would fasting glucose be a good surrogate endpoint?,pair:metformin_hba1c,Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Recommended surrogate: HbA1c. Biomarker category: metabolic. Pathway: glucose metabolism. Aging hallmark: deregulated nutrient sensing. Evidence score: 0.900. Surrogate confidence: 0.880. Literature support: 0.860. Reason: Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions.,pair,0,Liraglutide,fasting glucose,same_category
